,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count,scorediff
62,61,"Tuesday, Jun 14",boxscore,NYY,,TBR,W,2.0,0.0,,45-16,1,up 9.0,Cole,Kluber,Holmes,3:03,N,35692,.87,+++++,,45,129.0
63,62,"Wednesday, Jun 15",boxscore,NYY,,TBR,W,4.0,3.0,,46-16,1,up 9.0,Cortes,McClanahan,Holmes,2:58,N,35104,.83,++++++,,46,130.0
64,63,"Thursday, Jun 16",boxscore,NYY,,TBR,W,2.0,1.0,,47-16,1,up10.0,King,Armstrong,,2:38,N,39469,.74,+++++++,,47,131.0
65,64,"Friday, Jun 17",boxscore,NYY,@,TOR,W,12.0,3.0,,48-16,1,up11.0,Montgomery,Stripling,,3:21,N,44688,.69,++++++++,,48,140.0
66,65,"Saturday, Jun 18",boxscore,NYY,@,TOR,W,4.0,0.0,,49-16,1,up12.0,Taillon,Manoah,,3:05,D,45055,.64,+++++++++,,49,144.0
67,66,"Sunday, Jun 19",boxscore,NYY,@,TOR,L,9.0,10.0,,49-17,1,up11.0,Garcia,Peralta,Romano,3:41,D,44395,.52,-,,49,143.0
68,67,"Monday, Jun 20",boxscore,NYY,@,TBR,W,4.0,2.0,,50-17,1,up12.0,Peralta,Adam,,3:12,N,16504,.53,+,,50,145.0
69,68,"Tuesday, Jun 21",boxscore,NYY,@,TBR,L,4.0,5.0,,50-18,1,up12.0,Armstrong,Cortes,Poche,2:42,N,20688,.43,-,,50,144.0
70,69,"Wednesday, Jun 22",boxscore,NYY,@,TBR,W,5.0,4.0,,51-18,1,up12.0,Schmidt,Garza,Holmes,3:35,N,12264,.50,+,,51,145.0
71,70,"Thursday, Jun 23",boxscore,NYY,,HOU,W,7.0,6.0,,52-18,1,up12.5,Castro,Pressly,,3:24,N,44071,.44,++,,52,146.0
