,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
114,120,Aug 15,SFG,FLA,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.304,.484,.813,1.296,3,0.93,-0.092,1.99,-0.12%,LF,51,7.658000000000005
115,121,Aug 16,SFG,FLA,"W,5-3",CG,4,3,2,2,0,0,2,4,1,0,1,0,0,0,0,0,0,0,.307,.486,.828,1.314,3,2.27,0.529,4.82,0.67%,LF,53,8.187000000000005
116,122,Aug 17,SFG,ATL,"L,1-2",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.307,.484,.822,1.306,3,1.33,-0.022,2.93,-0.03%,LF,53,8.165000000000004
117,123,Aug 18,SFG,ATL,"L,1-3",CG,4,3,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.310,.486,.829,1.315,3,0.84,0.086,1.93,0.12%,LF,54,8.251000000000005
118,124,Aug 19,SFG,ATL,"W,4-1",CG,4,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.308,.486,.824,1.310,3,0.97,0.02,2.28,0.03%,LF,54,8.271000000000004
119,125,Aug 21,SFG,MON,"W,10-2",GS-8,5,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.306,.487,.820,1.307,3,0.32,0.027,.73,0.04%,LF,54,8.298000000000004
120,126,Aug 22,SFG,MON,"L,1-7",CG,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.307,.489,.818,1.307,3,0.38,0.044,.83,0.06%,LF,54,8.342000000000004
121,127,Aug 23,SFG,MON,"W,10-5",9-GF,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.309,.490,.827,1.317,9,1.85,0.374,4.25,0.52%,PH LF,55,8.716000000000005
122,128,Aug 24,SFG,NYM,"L,3-4",CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.310,.490,.823,1.313,3,1.27,0.014,2.86,0.02%,LF,55,8.730000000000004
123,129,Aug 25,SFG,NYM,"L,2-3",CG(11),5,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.310,.491,.819,1.310,3,0.86,0.009,2.02,0.01%,LF,55,8.739000000000004
124,130,Aug 26,SFG,NYM,"L,5-6",CG,4,3,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,.310,.491,.820,1.312,3,1.27,0.068,3.03,0.10%,LF,55,8.807000000000004
125,131,Aug 27,SFG,NYM,"W,6-5",CG,5,4,2,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.314,.494,.830,1.324,3,1.47,0.243,3.46,0.34%,LF,56,9.050000000000004
126,132,Aug 28,SFG,ARI,"L,1-4",CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.313,.494,.826,1.320,3,0.96,-0.011,2.80,-0.02%,LF,56,9.039000000000005
127,133,Aug 29,SFG,ARI,"L,0-2",CG,4,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.313,.494,.822,1.316,3,0.83,0.004,2.38,0.01%,LF,56,9.043000000000005
128,134,Aug 30,SFG,ARI,"W,13-5",GS-8,5,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.314,.497,.820,1.317,3,0.53,0.059,1.46,0.10%,LF,56,9.102000000000004
129,135,Aug 31,SFG,COL,"L,2-5",CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.313,.495,.822,1.317,3,0.49,-0.009,1.22,-0.01%,LF,57,9.093000000000004
131,136,Sep 1,SFG,COL,"W,2-1",8-GF,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.313,.496,.822,1.318,9,2.55,0.018,5.80,0.02%,LF,57,9.111000000000004
132,137,Sep 2,SFG,COL,"W,3-1",CG,4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.311,.495,.816,1.310,4,0.89,-0.037,2.19,-0.06%,LF,57,9.074000000000003
133,138,Sep 3,SFG,COL,"L,1-4",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,.310,.493,.818,1.311,3,1.22,-0.018,3.21,-0.03%,LF,58,9.056000000000003
134,139,Sep 4,SFG,ARI,"W,5-2",CG,4,2,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.314,.496,.826,1.322,3,0.74,0.157,2.36,0.30%,LF,59,9.213000000000003
135,140,Sep 5,SFG,ARI,"L,2-7",GS-9,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.312,.496,.822,1.318,3,1.15,-0.027,4.17,-0.06%,LF,59,9.186000000000003
136,141,Sep 6,SFG,ARI,"W,9-5",CG,5,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.312,.495,.824,1.318,3,0.43,0.104,1.42,0.21%,LF,60,9.290000000000003
137,142,Sep 7,SFG,COL,"L,2-3",CG(12),6,3,0,3,1,0,0,1,3,0,0,0,0,0,0,0,0,0,.317,.500,.827,1.327,3,1.51,0.415,4.36,0.72%,LF,60,9.705000000000002
138,143,Sep 8,SFG,COL,"W,7-3",CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.315,.497,.820,1.317,3,1.39,-0.097,3.96,-0.17%,LF,60,9.608000000000002
139,144,Sep 9,SFG,COL,"W,9-4",GS-11,6,5,3,3,0,0,3,5,1,0,1,0,0,0,0,0,0,0,.319,.499,.838,1.338,3,1.13,0.227,3.51,0.42%,LF,63,9.835000000000003
140,145,Sep 18,SFG,HOU,"L,2-3",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.316,.497,.833,1.330,3,0.84,-0.058,2.82,-0.12%,LF,63,9.777000000000003
141,146,Sep 19,SFG,HOU,"L,3-10",GS-9,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.316,.497,.829,1.327,3,0.18,0.004,.59,0.01%,LF,63,9.781000000000002
142,147,Sep 20,SFG,HOU,"L,4-5",CG(10),5,3,1,2,1,0,1,3,2,0,1,0,0,0,0,0,0,0,.319,.500,.837,1.337,3,1.46,0.409,4.23,0.71%,LF,64,10.190000000000003
143,148,Sep 21,SFG,SDP,"W,2-0",CG,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.319,.500,.834,1.334,3,1.04,0.139,2.67,0.21%,LF,64,10.329000000000002
144,149,Sep 22,SFG,SDP,"L,3-4",CG(10),4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.318,.498,.831,1.329,3,0.73,-0.041,1.97,-0.07%,LF,64,10.288000000000002
145,150,Sep 23,SFG,SDP,"W,11-2",GS-8,5,4,3,2,0,0,2,2,1,0,0,0,0,0,0,0,1,0,.320,.499,.841,1.340,3,0.64,0.138,1.53,0.20%,LF,66,10.426000000000002
146,151,Sep 24,SFG,LAD,"W,2-1",CG,5,3,1,1,0,0,1,1,2,1,0,0,0,0,0,0,1,0,.320,.500,.844,1.344,3,1.16,0.147,3.48,0.27%,LF,67,10.573000000000002
147,152,Sep 25,SFG,LAD,"L,5-9",CG,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.318,.499,.839,1.338,3,0.65,-0.001,2.41,0.00%,LF,67,10.572000000000003
148,153,Sep 26,SFG,LAD,"W,6-4",CG,5,2,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,.319,.502,.837,1.339,3,1.66,0.104,5.94,0.22%,LF,67,10.676000000000002
149,154,Sep 28,SFG,SDP,"W,10-5",GS-8,5,3,1,2,1,0,1,3,2,0,1,0,0,0,0,0,0,0,.321,.504,.845,1.349,3,0.34,0.113,1.06,0.21%,LF,68,10.789000000000001
150,155,Sep 29,SFG,SDP,"W,3-1",CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.321,.504,.848,1.352,3,0.79,0.147,2.44,0.27%,LF,69,10.936000000000002
151,156,Sep 30,SFG,SDP,"L,4-5",CG,4,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,.320,.505,.846,1.352,3,1.92,0.102,5.93,0.19%,LF,69,11.038000000000002
152,157,Oct 2,SFG,HOU,"W,4-1",CG,5,2,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,.321,.508,.845,1.353,3,1.02,0.125,2.92,0.21%,LF,69,11.163000000000002
153,158,Oct 3,SFG,HOU,"W,11-8",GS-9,5,2,3,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,.322,.510,.843,1.353,3,0.94,0.112,2.99,0.21%,LF,69,11.275000000000002
154,159,Oct 4,SFG,HOU,"W,10-2",GS-9,5,2,2,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,.323,.512,.848,1.361,3,0.41,0.035,1.73,0.09%,LF,70,11.310000000000002
155,160,Oct 5,SFG,LAD,"L,10-11",CG,5,3,3,2,0,0,2,2,2,1,0,0,0,0,0,0,0,0,.325,.514,.860,1.374,3,0.96,0.152,4.32,0.41%,LF,72,11.462000000000002
156,161,Oct 6,SFG,LAD,"L,2-6",9-9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.326,.515,.860,1.375,5,0.12,0.005,.00,0.00%,PH,72,11.467000000000002
157,162,Oct 7,SFG,LAD,"W,2-1",GS-9,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.328,.515,.863,1.379,3,0.99,0.017,.00,0.00%,LF,73,11.484000000000002
