,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count
35,35,May 27 (1),NYY,WSH,"L,2-7",CG,4,3,2,1,0,0,0,0,1,0,0,0,0,,0,,0,0,.331,.494,.653,1.147,3,.55,-0.044,2.94,-0.14%,RF,11
36,36,May 27 (2),NYY,WSH,"W,5-0",CG,4,4,1,0,0,0,0,0,0,0,1,0,0,,1,,0,0,.320,.482,.632,1.114,3,.68,-0.009,3.63,-0.03%,RF,11
37,37,May 28 (1),NYY,WSH,"W,8-2",CG,4,4,1,3,0,1,1,3,0,0,0,0,0,,0,,0,0,.333,.488,.674,1.163,3,1.09,0.123,5.71,0.39%,RF,12
38,38,May 28 (2),NYY,WSH,"L,2-3",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,,0,,0,0,.331,.483,.662,1.144,3,1.57,-0.054,8.17,-0.17%,RF,12
39,39,May 29,NYY,BOS,"W,15-7",CG,6,5,2,2,0,0,1,4,1,0,1,0,0,,0,,0,0,.333,.483,.674,1.157,3,.78,0.033,3.71,0.10%,RF,13
40,40,May 30 (1),NYY,PHA,"L,8-9",CG,5,5,1,2,1,0,0,1,0,0,2,0,0,,0,,0,0,.336,.481,.671,1.152,3,.97,0.087,5.71,0.31%,LF,13
41,41,May 30 (2),NYY,PHA,"W,6-5",CG(11),6,4,3,2,0,0,1,1,2,0,0,0,0,,0,,0,0,.340,.487,.687,1.174,3,1.62,0.455,9.52,1.61%,LF,14
42,42,May 31 (1),NYY,PHA,"W,10-3",CG,5,4,2,1,0,0,1,2,1,0,1,0,0,,0,,0,0,.338,.485,.695,1.180,3,.38,0.153,2.26,0.55%,LF,15
43,43,May 31 (2),NYY,PHA,"W,18-5",GS-9,6,6,2,3,1,0,1,5,0,0,1,0,0,,0,,0,0,.344,.485,.713,1.198,3,.54,0.181,3.16,0.63%,LF,16
45,44,Jun 1,NYY,PHA,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.335,.475,.696,1.171,3,1.15,-0.125,6.99,-0.46%,LF,16
46,45,Jun 2,NYY,DET,"W,2-0",CG,4,3,0,1,0,0,0,1,1,0,0,0,0,,0,,0,1,.335,.476,.689,1.165,3,.73,-0.011,3.74,-0.03%,RF,16
47,46,Jun 3,NYY,DET,"L,1-3",CG,4,3,0,1,0,0,0,0,1,0,1,0,0,,0,,0,0,.335,.476,.683,1.159,3,1.18,0.015,5.93,0.05%,RF,16
48,47,Jun 5,NYY,DET,"W,5-3",CG,4,4,1,2,0,0,1,2,0,0,1,0,0,,0,,0,0,.339,.477,.696,1.173,3,1.63,0.268,8.20,0.81%,RF,17
49,48,Jun 7,NYY,CHW,"W,4-1",CG,4,3,1,1,0,0,1,1,1,0,0,0,0,,0,,0,0,.339,.477,.707,1.184,3,.55,0.113,4.07,0.50%,RF,18
50,49,Jun 8,NYY,CHW,"W,12-11",CG(11),6,4,1,1,0,0,0,0,2,0,2,0,0,,0,,0,0,.337,.478,.697,1.175,3,1.19,-0.055,8.60,-0.24%,RF,18
51,50,Jun 9,NYY,CHW,"W,8-3",CG,4,2,2,1,0,1,0,0,2,0,0,0,0,,0,,1,0,.339,.483,.706,1.188,3,.77,0.083,5.86,0.38%,RF,18
52,51,Jun 10,NYY,CHW,"L,2-4",CG,4,2,0,0,0,0,0,0,2,0,0,0,0,,0,,0,1,.335,.483,.698,1.181,3,1.25,-0.085,9.10,-0.37%,RF,18
53,52,Jun 11,NYY,CLE,"W,6-4",CG,5,3,2,2,0,0,2,3,2,0,1,0,0,,0,,0,0,.341,.490,.730,1.219,3,.60,0.216,3.11,0.68%,RF,20
54,53,Jun 12,NYY,CLE,"L,7-8",CG,5,5,1,2,1,0,1,1,0,0,2,0,0,,0,,0,0,.342,.488,.742,1.230,3,1.48,-0.097,7.68,-0.30%,RF,21
55,54,Jun 13,NYY,CLE,"W,14-6",GS-8,5,4,0,1,1,0,0,0,1,0,2,0,0,,0,,0,0,.340,.486,.737,1.223,3,.27,-0.040,1.39,-0.13%,RF,21
56,55,Jun 16,NYY,SLB,"W,8-1",CG,4,4,2,2,0,0,1,2,0,0,1,0,0,,0,,0,0,.343,.486,.747,1.234,3,.49,0.170,2.62,0.55%,RF,22
57,56,Jun 17,NYY,SLB,"W,3-2",GS-2,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.342,.484,.744,1.228,3,1.21,-0.054,6.16,-0.16%,RF,22
58,57,Jun 18,NYY,SLB,"W,8-4",GS-9,5,4,0,1,0,0,0,0,1,0,0,0,0,,0,,0,0,.340,.483,.734,1.217,3,1.01,-0.047,5.14,-0.14%,RF,22
59,58,Jun 21 (1),NYY,BOS,"W,7-3",CG,5,5,1,2,0,0,0,0,0,0,0,0,0,,0,,0,0,.341,.481,.726,1.207,3,.39,0.074,1.77,0.20%,LF,22
60,59,Jun 21 (2),NYY,BOS,"W,7-1",GS-7,4,2,2,1,1,0,0,0,2,0,0,0,0,,0,,0,0,.343,.485,.729,1.214,3,.61,0.095,2.61,0.25%,LF,22
61,60,Jun 22 (1),NYY,BOS,"W,7-4",CG,4,4,2,2,0,0,2,3,0,0,1,0,0,,0,,0,0,.346,.485,.752,1.238,3,1.09,0.241,4.52,0.60%,LF,24
