,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
76,74,Jul 1,NYY,WSA,"W,7-6",CG,5,5,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.266,.374,.618,.992,3,1.91,0.735,9.78,2.26%,RF,28,3.153
77,75,Jul 2,NYY,WSA,"W,13-4",CG,5,5,2,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,.272,.377,.640,1.017,3,0.61,0.269,2.94,0.78%,RF,30,3.422
78,76,Jul 4 (1),NYY,DET,"W,6-2",CG,4,4,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.272,.376,.634,1.010,3,0.98,0.101,8.55,0.53%,RF,30,3.523
79,77,Jul 4 (2),NYY,DET,"L,3-4",CG(10),5,4,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.271,.376,.639,1.015,3,2.03,0.285,17.58,1.48%,RF,31,3.8080000000000003
80,78,Jul 5,NYY,CLE,"W,6-0",CG,4,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.278,.381,.651,1.032,3,0.66,0.118,4.02,0.44%,RF,32,3.926
81,79,Jul 6,NYY,CLE,"W,4-0",CG,4,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.280,.385,.650,1.035,3,0.47,0.026,2.87,0.10%,RF,32,3.952
82,80,Jul 7,NYY,BOS,"W,14-3",CG,5,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,.278,.382,.643,1.025,3,0.32,0.001,1.76,0.00%,RF,32,3.953
83,81,Jul 8,NYY,BOS,"W,8-5",CG,4,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.279,.384,.643,1.026,3,0.87,0.166,4.92,0.56%,RF,32,4.119
84,82,Jul 9 (1),NYY,BOS,"W,3-0",CG,4,3,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.283,.388,.653,1.041,3,0.57,0.104,3.37,0.37%,RF,33,4.223
85,83,Jul 9 (2),NYY,BOS,"L,6-9",CG,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.282,.388,.648,1.036,3,0.82,-0.082,4.64,-0.28%,RF,33,4.141
86,84,Jul 13,NYY,CHW,"W,6-2",CG,5,5,1,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.288,.391,.660,1.051,3,0.46,0.169,2.53,0.56%,RF,34,4.31
87,85,Jul 14,NYY,CHW,"L,1-6",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.386,.652,1.038,3,1.15,-0.122,6.41,-0.41%,RF,34,4.188
88,86,Jul 15,NYY,CHW,"W,9-8",CG(10),6,6,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,.288,.388,.668,1.056,3,1.12,0.423,6.30,1.43%,RF,35,4.611
89,87,Jul 16,NYY,BAL,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.384,.659,1.044,3,1.08,-0.155,6.81,-0.59%,RF,35,4.4559999999999995
90,88,Jul 17,NYY,BAL,"W,5-0",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.282,.383,.653,1.036,3,0.54,-0.004,3.39,-0.02%,RF,35,4.452
91,89,Jul 18,NYY,WSA,"W,5-3",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.379,.645,1.024,3,1.16,-0.118,6.48,-0.40%,RF,35,4.334
92,90,Jul 19 (1),NYY,WSA,"L,4-8",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.276,.378,.639,1.017,3,0.98,0.009,5.57,0.03%,RF,35,4.343
93,91,Jul 19 (2),NYY,WSA,"L,2-12",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.272,.374,.632,1.005,3,0.19,-0.02,1.03,-0.07%,RF,35,4.323
94,92,Jul 21,NYY,BOS,"W,11-8",CG,5,3,4,2,0,0,1,1,2,0,1,0,0,0,0,0,0,0,.276,.379,.641,1.020,3,1.33,0.107,7.66,0.37%,RF,36,4.430000000000001
